tahun_bulan,jml_setor
2012-1,519104338
2012-2,514444650
2012-3,482046796
2012-4,466317714
2012-5,525332710
2012-6,535907298
2012-7,553149515
2012-8,537865875
2012-9,546793298
2012-10,573641681
2012-11,622682643
2012-12,630724035
2013-1,618297579
2013-2,554705226
2013-3,578901706
2013-4,611255671
2013-5,533450113
2013-6,653701977
2013-7,748819272
2013-8,551582173
2013-9,670075412
2013-10,623055137
2013-11,733163856
2013-12,715786517
2014-1,789355249
2014-2,671923404
2014-3,658108288
2014-4,830795987
2014-5,690057561
2014-6,848926913
2014-7,841525336
2014-8,828792169
2014-9,859454031
2014-10,986507745
2014-11,860171372
2014-12,931014199
2015-1,809999827
2015-2,787872158
2015-3,789733329
2015-4,887710293
2015-5,1059008462
2015-6,1207671960
2015-7,1083290205
2015-8,1309245360
2015-9,1023973904
2015-10,983931428
2015-11,1128058466
2015-12,1020270394
2016-1,1406188952
2016-2,1153255848
2016-3,1301275221
2016-4,1130389892
2016-5,1330024849
2016-6,1358766762
2016-7,1117895515
2016-8,1755049109
2016-9,1328340089
2016-10,1246580463
2016-11,1347529743
2016-12,1274237311
2017-1,1561736552
2017-2,1281546547
2017-3,1387892977
2017-4,1366955594
2017-5,1545826424
2017-6,1374010626
2017-7,1450621644
2017-8,1469357634
2017-9,1303056392
2017-10,1438679080
2017-11,1598129307
2017-12,1771387951
2018-1,1636290903
2018-2,1504337239
2018-3,1399045210
2018-4,1515306992
2018-5,2325238099
2018-6,1486353738
2018-7,2214566635
2018-8,1748718445
2018-9,1575154657
2018-10,1630932975
2018-11,1887683259
2018-12,1823374331
2019-1,2131680072
2019-2,1527367203
2019-3,1763404988
2019-4,1745987332
2019-5,1728539606
2019-6,1736371989
2019-7,2524688558
2019-8,1900867144
2019-9,2110712528
2019-10,1903718020
2019-11,2604155389
2019-12,3050826029
2020-1,2464251580
2020-2,2328307648
2020-3,2366764131
2020-4,1406218828
2020-5,854978754
2020-6,1847239904
2020-7,2269586886
2020-8,3174509188
2020-9,3171805920
2020-10,2833602142
2020-11,2533271928
2020-12,2637545541
2021-1,4108776823
2021-2,2738026371
2021-3,2405029120
2021-4,2881546420
2021-5,2569221403
2021-6,2692492133
2021-7,2676029601
2021-8,1770216532
2021-9,3209918974
2021-10,3293158230
2021-11,4253368357
2021-12,2624282724
2022-1,5423805948
2022-2,3852754974
2022-3,3356170307
2022-4,4546736292
2022-5,2860446353
2022-6,5699962645
2022-7,3676029600
2022-8,2770216500
2022-9,4209918000
2022-10,4293158000
2022-11,5253368000
2022-12,3624282000
