tahun_bulan,jml_setor
2012-1,34906900
2012-2,39445700
2012-3,41175975
2012-4,45978725
2012-5,45074425
2012-6,54744050
2012-7,48090375
2012-8,52337050
2012-9,73461000
2012-10,43321125
2012-11,42256375
2012-12,39102625
2013-1,49036625
2013-2,48724000
2013-3,46523125
2013-4,56869250
2013-5,54899875
2013-6,55823500
2013-7,63048000
2013-8,81095000
2013-9,75756625
2013-10,57481750
2013-11,56840250
2013-12,56187000
2014-1,66278500
2014-2,62643750
2014-3,62924875
2014-4,69847125
2014-5,63890975
2014-6,74345025
2014-7,108016176
2014-8,115441788
2014-9,87409300
2014-10,96777688
2014-11,127307700
2014-12,94154975
2015-1,107929338
2015-2,104525650
2015-3,96264863
2015-4,102728200
2015-5,99733013
2015-6,104886820
2015-7,92323985
2015-8,120016023
2015-9,122594480
2015-10,106730738
2015-11,116425690
2015-12,104743950
2016-1,122475235
2016-2,114362275
2016-3,106620175
2016-4,113018550
2016-5,116415075
2016-6,123358780
2016-7,127413700
2016-8,131793475
2016-9,124253536
2016-10,107437291
2016-11,129643343
2016-12,113891856
2017-1,133529990
2017-2,103903875
2017-3,136323775
2017-4,129747400
2017-5,137623200
2017-6,131745250
2017-7,162108700
2017-8,137371125
2017-9,136475225
2017-10,130653700
2017-11,142599675
2017-12,141189950
2018-1,158585325
2018-2,128384025
2018-3,135684725
2018-4,135120325
2018-5,138300000
2018-6,137831275
2018-7,176177650
2018-8,144547500
2018-9,138216075
2018-10,155615250
2018-11,159938800
2018-12,132698100
2019-1,207498800
2019-2,177098025
2019-3,173717875
2019-4,179939956
2019-5,170428375
2019-6,182475500
2019-7,185988725
2019-8,183957850
2019-9,222711975
2019-10,139244275
2019-11,188444375
2019-12,185579125
2020-1,224582450
2020-2,216329542
2020-3,200318525
2020-4,172194375
2020-5,139637302
2020-6,145845856
2020-7,157788019
2020-8,172113010
2020-9,182332975
2020-10,176140730
2020-11,171557097
2020-12,158220653
2021-1,173192558
2021-2,186793955
2021-3,225520251
2021-4,84586938
2021-5,154201800
2021-6,186397250
2021-7,142979419
2021-8,133839875
2021-9,155101505
2021-10,149270960
2021-11,174942000
2021-12,241004438
2022-1,215673000
2022-2,212900935
2022-3,227849064
2022-4,202591436
2022-5,251542760
2022-6,253218988
2022-7,242349000
2022-8,233843870
2022-9,255154150
2022-10,249460960
2022-11,274352000
2022-12,271004000
